address,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
0,DWA_EN[0],reserved,NFFT_POWER[13],NFFT_POWER[12],NFFT_POWER[11],NFFT_POWER[10],NFFT_POWER[9],NFFT_POWER[8],NFFT_POWER[7],NFFT_POWER[6],NFFT_POWER[5],NFFT_POWER[4],NFFT_POWER[3],NFFT_POWER[2],NFFT_POWER[1],NFFT_POWER[0]
1,reserved,reserved,reserved,reserved,reserved,reserved,reserved,reserved,OSR_POWER[7],OSR_POWER[6],OSR_POWER[5],OSR_POWER[4],OSR_POWER[3],OSR_POWER[2],OSR_POWER[1],OSR_POWER[0]
2,N_SH_TOTAL_CYCLES[15],N_SH_TOTAL_CYCLES[14],N_SH_TOTAL_CYCLES[13],N_SH_TOTAL_CYCLES[12],N_SH_TOTAL_CYCLES[11],N_SH_TOTAL_CYCLES[10],N_SH_TOTAL_CYCLES[9],N_SH_TOTAL_CYCLES[8],N_SH_TOTAL_CYCLES[7],N_SH_TOTAL_CYCLES[6],N_SH_TOTAL_CYCLES[5],N_SH_TOTAL_CYCLES[4],N_SH_TOTAL_CYCLES[3],N_SH_TOTAL_CYCLES[2],N_SH_TOTAL_CYCLES[1],N_SH_TOTAL_CYCLES[0]
3,N_SH_ACTIVE_CYCLES[15],N_SH_ACTIVE_CYCLES[14],N_SH_ACTIVE_CYCLES[13],N_SH_ACTIVE_CYCLES[12],N_SH_ACTIVE_CYCLES[11],N_SH_ACTIVE_CYCLES[10],N_SH_ACTIVE_CYCLES[9],N_SH_ACTIVE_CYCLES[8],N_SH_ACTIVE_CYCLES[7],N_SH_ACTIVE_CYCLES[6],N_SH_ACTIVE_CYCLES[5],N_SH_ACTIVE_CYCLES[4],N_SH_ACTIVE_CYCLES[3],N_SH_ACTIVE_CYCLES[2],N_SH_ACTIVE_CYCLES[1],N_SH_ACTIVE_CYCLES[0]
4,N_BOTTOM_PLATE_ACTIVE_CYCLES[15],N_BOTTOM_PLATE_ACTIVE_CYCLES[14],N_BOTTOM_PLATE_ACTIVE_CYCLES[13],N_BOTTOM_PLATE_ACTIVE_CYCLES[12],N_BOTTOM_PLATE_ACTIVE_CYCLES[11],N_BOTTOM_PLATE_ACTIVE_CYCLES[10],N_BOTTOM_PLATE_ACTIVE_CYCLES[9],N_BOTTOM_PLATE_ACTIVE_CYCLES[8],N_BOTTOM_PLATE_ACTIVE_CYCLES[7],N_BOTTOM_PLATE_ACTIVE_CYCLES[6],N_BOTTOM_PLATE_ACTIVE_CYCLES[5],N_BOTTOM_PLATE_ACTIVE_CYCLES[4],N_BOTTOM_PLATE_ACTIVE_CYCLES[3],N_BOTTOM_PLATE_ACTIVE_CYCLES[2],N_BOTTOM_PLATE_ACTIVE_CYCLES[1],N_BOTTOM_PLATE_ACTIVE_CYCLES[0]
5,N_SAR_CYCLES[15],N_SAR_CYCLES[14],N_SAR_CYCLES[13],N_SAR_CYCLES[12],N_SAR_CYCLES[11],N_SAR_CYCLES[10],N_SAR_CYCLES[9],N_SAR_CYCLES[8],N_SAR_CYCLES[7],N_SAR_CYCLES[6],N_SAR_CYCLES[5],N_SAR_CYCLES[4],N_SAR_CYCLES[3],N_SAR_CYCLES[2],N_SAR_CYCLES[1],N_SAR_CYCLES[0]
6,N_INT1_TOTAL_CYCLES[15],N_INT1_TOTAL_CYCLES[14],N_INT1_TOTAL_CYCLES[13],N_INT1_TOTAL_CYCLES[12],N_INT1_TOTAL_CYCLES[11],N_INT1_TOTAL_CYCLES[10],N_INT1_TOTAL_CYCLES[9],N_INT1_TOTAL_CYCLES[8],N_INT1_TOTAL_CYCLES[7],N_INT1_TOTAL_CYCLES[6],N_INT1_TOTAL_CYCLES[5],N_INT1_TOTAL_CYCLES[4],N_INT1_TOTAL_CYCLES[3],N_INT1_TOTAL_CYCLES[2],N_INT1_TOTAL_CYCLES[1],N_INT1_TOTAL_CYCLES[0]
7,N_INT1_ACTIVE_CYCLES[15],N_INT1_ACTIVE_CYCLES[14],N_INT1_ACTIVE_CYCLES[13],N_INT1_ACTIVE_CYCLES[12],N_INT1_ACTIVE_CYCLES[11],N_INT1_ACTIVE_CYCLES[10],N_INT1_ACTIVE_CYCLES[9],N_INT1_ACTIVE_CYCLES[8],N_INT1_ACTIVE_CYCLES[7],N_INT1_ACTIVE_CYCLES[6],N_INT1_ACTIVE_CYCLES[5],N_INT1_ACTIVE_CYCLES[4],N_INT1_ACTIVE_CYCLES[3],N_INT1_ACTIVE_CYCLES[2],N_INT1_ACTIVE_CYCLES[1],N_INT1_ACTIVE_CYCLES[0]
8,N_INT2_TOTAL_CYCLES[15],N_INT2_TOTAL_CYCLES[14],N_INT2_TOTAL_CYCLES[13],N_INT2_TOTAL_CYCLES[12],N_INT2_TOTAL_CYCLES[11],N_INT2_TOTAL_CYCLES[10],N_INT2_TOTAL_CYCLES[9],N_INT2_TOTAL_CYCLES[8],N_INT2_TOTAL_CYCLES[7],N_INT2_TOTAL_CYCLES[6],N_INT2_TOTAL_CYCLES[5],N_INT2_TOTAL_CYCLES[4],N_INT2_TOTAL_CYCLES[3],N_INT2_TOTAL_CYCLES[2],N_INT2_TOTAL_CYCLES[1],N_INT2_TOTAL_CYCLES[0]
9,N_INT2_ACTIVE_CYCLES[15],N_INT2_ACTIVE_CYCLES[14],N_INT2_ACTIVE_CYCLES[13],N_INT2_ACTIVE_CYCLES[12],N_INT2_ACTIVE_CYCLES[11],N_INT2_ACTIVE_CYCLES[10],N_INT2_ACTIVE_CYCLES[9],N_INT2_ACTIVE_CYCLES[8],N_INT2_ACTIVE_CYCLES[7],N_INT2_ACTIVE_CYCLES[6],N_INT2_ACTIVE_CYCLES[5],N_INT2_ACTIVE_CYCLES[4],N_INT2_ACTIVE_CYCLES[3],N_INT2_ACTIVE_CYCLES[2],N_INT2_ACTIVE_CYCLES[1],N_INT2_ACTIVE_CYCLES[0]
10,reserved,reserved,reserved,reserved,reserved,reserved,reserved,reserved,reserved,reserved,reserved,reserved,MAIN_STATE_RB[2],MAIN_STATE_RB[1],MAIN_STATE_RB[0],START_CONVERSION[0]
11,reserved,reserved,reserved,reserved,reserved,reserved,reserved,reserved,reserved,CLKGEN_DRP_DADDR[6],CLKGEN_DRP_DADDR[5],CLKGEN_DRP_DADDR[4],CLKGEN_DRP_DADDR[3],CLKGEN_DRP_DADDR[2],CLKGEN_DRP_DADDR[1],CLKGEN_DRP_DADDR[0]
